Setpoint [V], Measured [V]
        0.00,      4.00000
        0.50,      4.00000
        1.00,      4.00000
        1.50,      4.00000
        2.00,      4.00000
        2.50,      4.00000
        3.00,      4.00000
        3.50,      4.00000
        4.00,      4.00000
        4.50,      4.00000
        5.00,      4.00000
        5.50,      4.00000
        6.00,      4.00000
        6.50,      4.00000
        7.00,      4.00000
        7.50,      4.00000
        8.00,      4.00000
        8.50,      4.00000
        9.00,      4.00000
        9.50,      4.00000
       10.00,      4.00000
